 ,Frame,Contour ID,Pos.,X,Y,Length,Contrast,Asymmetry,Line width,Angle of normal,Class
1,1,6159,1,33.452,18.680,0.125,128.449,0.091,0.269,5.488,start_junc
2,1,6159,2,33.505,18.714,0.125,81.424,0.091,0.269,5.711,start_junc
3,1,6159,3,33.493,18.775,0.125,52.348,0.091,0.269,5.338,start_junc
4,1,6164,1,21.342,4.928,0.383,30.947,0.050,0.240,4.650,start_junc
5,1,6164,2,21.307,4.987,0.383,49.238,0.050,0.240,4.046,start_junc
6,1,6164,3,21.251,5.074,0.383,66.877,0.050,0.240,4.091,start_junc
7,1,6164,4,21.203,5.101,0.383,20.789,0.329,0.148,3.933,start_junc
8,1,6164,5,21.182,5.151,0.383,22.659,0.251,0.143,4.040,start_junc
9,1,6164,6,21.144,5.206,0.383,46.975,0.176,0.221,4.278,start_junc
10,1,6164,7,21.131,5.238,0.383,50.825,0.228,0.234,4.167,start_junc
11,1,6168,1,13.505,5.145,0.088,11.083,0.050,0.058,1.476,start_junc
12,1,6168,2,13.445,5.079,0.088,6.980,0.213,0.108,2.072,start_junc
13,1,6179,1,19.335,2.867,1.488,75.207,0.509,0.202,1.389,both_junc
14,1,6179,2,19.343,2.796,1.488,133.733,0.492,0.226,1.148,both_junc
15,1,6179,3,19.372,2.735,1.488,124.896,0.442,0.228,1.159,both_junc
16,1,6179,4,19.377,2.708,1.488,116.642,0.442,0.228,1.210,both_junc
17,1,6179,5,19.409,2.646,1.488,88.051,0.306,0.215,1.204,both_junc
18,1,6179,6,19.437,2.583,1.488,114.642,0.214,0.237,1.218,both_junc
19,1,6179,7,19.488,2.502,1.488,27.516,0.082,0.158,1.016,both_junc
20,1,6179,8,19.556,2.424,1.488,134.469,0.132,0.244,0.811,both_junc
21,1,6179,9,19.630,2.351,1.488,143.315,0.061,0.238,0.799,both_junc
22,1,6179,10,19.675,2.319,1.488,154.182,0.181,0.243,0.827,both_junc
23,1,6179,11,19.698,2.273,1.488,178.705,0.078,0.246,0.902,both_junc
24,1,6179,12,19.736,2.233,1.488,197.369,0.157,0.249,0.836,both_junc
25,1,6179,13,19.764,2.193,1.488,229.438,0.047,0.257,0.873,both_junc
26,1,6179,14,19.801,2.150,1.488,212.342,0.057,0.255,0.906,both_junc
27,1,6179,15,19.830,2.112,1.488,196.166,0.057,0.253,0.846,both_junc
28,1,6179,16,19.868,2.072,1.488,177.105,0.101,0.250,0.852,both_junc
29,1,6179,17,19.908,2.037,1.488,218.841,0.323,0.259,0.705,both_junc
30,1,6179,18,19.943,2.000,1.488,268.269,0.199,0.277,0.842,both_junc
31,1,6179,19,19.979,1.961,1.488,212.482,0.184,0.274,0.710,both_junc
