 ,Frame,Contour ID,Pos.,X,Y,Length,Contrast,Asymmetry,Line width,Angle of normal,Class
1,1,5545,1,26.576,38.596,0.078,36.072,0.149,0.095,1.417,start_junc
2,1,5545,2,26.597,38.520,0.078,18.442,0.149,0.095,1.181,start_junc
3,1,5547,1,14.275,14.168,1.098,129.428,0.646,0.246,5.866,both_junc
4,1,5547,2,14.340,14.185,1.098,154.122,0.624,0.246,5.956,both_junc
5,1,5547,3,14.408,14.207,1.098,169.314,0.311,0.258,6.050,both_junc
6,1,5547,4,14.482,14.222,1.098,215.425,0.020,0.271,6.182,both_junc
7,1,5547,5,14.555,14.231,1.098,167.750,0.122,0.259,6.188,both_junc
8,1,5547,6,14.632,14.235,1.098,155.407,0.196,0.252,6.276,both_junc
9,1,5547,7,14.707,14.235,1.098,117.051,0.242,0.238,6.253,both_junc
10,1,5547,8,14.781,14.242,1.098,98.733,0.352,0.226,6.210,both_junc
11,1,5547,9,14.852,14.242,1.098,150.569,0.498,0.246,0.031,both_junc
12,1,5547,10,14.924,14.229,1.098,225.747,0.327,0.278,0.066,both_junc
13,1,5547,11,15.009,14.226,1.098,93.213,0.442,0.252,0.271,both_junc
14,1,5547,12,15.093,14.219,1.098,45.979,0.553,0.227,0.614,both_junc
15,1,5547,13,15.140,14.180,1.098,25.807,0.534,0.241,0.562,both_junc
16,1,5547,14,15.169,14.153,1.098,3.647,0.000,0.085,0.562,both_junc
17,1,5547,15,15.223,14.121,1.098,6.618,0.169,0.177,0.562,both_junc
18,1,5547,16,15.276,14.090,1.098,40.125,0.338,0.268,0.562,both_junc
19,1,5547,17,15.292,14.048,1.098,26.280,0.245,0.201,5.850,both_junc
20,1,5549,1,23.799,4.111,0.193,28.947,0.228,0.171,1.306,start_junc
21,1,5549,2,23.820,4.043,0.193,22.798,0.228,0.171,1.226,start_junc
22,1,5549,3,23.709,3.994,0.193,8.740,0.228,0.171,2.093,start_junc
23,1,5559,1,12.856,6.921,0.108,29.593,0.083,0.175,5.380,start_junc
24,1,5559,2,12.901,6.950,0.108,24.774,0.035,0.168,5.521,start_junc
25,1,5559,3,12.936,6.991,0.108,26.732,0.035,0.172,5.616,start_junc
26,1,5569,1,15.532,7.207,1.375,112.009,0.236,0.268,4.621,start_junc
27,1,5569,2,15.537,7.272,1.375,131.012,0.236,0.268,5.039,start_junc
28,1,5569,3,15.578,7.358,1.375,138.804,0.236,0.268,5.237,start_junc
29,1,5569,4,15.614,7.404,1.375,102.805,0.212,0.254,5.433,start_junc
30,1,5569,5,15.649,7.441,1.375,136.651,0.347,0.265,5.572,start_junc
31,1,5569,6,15.685,7.469,1.375,166.322,0.347,0.266,5.624,start_junc
32,1,5569,7,15.728,7.508,1.375,154.304,0.359,0.257,5.521,start_junc
33,1,5569,8,15.757,7.537,1.375,188.822,0.359,0.260,5.740,start_junc
34,1,5569,9,15.806,7.577,1.375,235.908,0.311,0.266,5.569,start_junc
35,1,5569,10,15.882,7.647,1.375,197.010,0.355,0.252,5.494,start_junc
36,1,5569,11,15.953,7.723,1.375,200.561,0.312,0.255,5.423,start_junc
37,1,5569,12,15.988,7.762,1.375,196.583,0.270,0.255,5.503,start_junc
38,1,5569,13,16.025,7.798,1.375,225.569,0.149,0.262,5.479,start_junc
39,1,5569,14,16.065,7.833,1.375,238.685,0.029,0.270,5.490,start_junc
40,1,5569,15,16.099,7.871,1.375,213.783,0.095,0.260,5.493,start_junc
41,1,5569,16,16.142,7.904,1.375,235.137,0.296,0.260,5.473,start_junc
42,1,5569,17,16.172,7.944,1.375,259.139,0.296,0.260,5.449,start_junc
43,1,5569,18,16.216,7.983,1.375,261.056,0.355,0.271,5.380,start_junc
44,1,5569,19,16.241,8.022,1.375,262.568,0.460,0.256,5.407,start_junc
45,1,5569,20,16.281,8.060,1.375,221.852,0.469,0.271,5.447,start_junc
46,1,5569,21,16.318,8.094,1.375,184.666,0.635,0.235,5.558,start_junc
47,1,5569,22,16.351,8.147,1.375,180.547,0.595,0.254,5.184,start_junc
48,1,5569,23,16.381,8.175,1.375,212.881,0.560,0.264,5.432,start_junc
49,1,5569,24,16.390,8.238,1.375,93.875,0.560,0.264,5.086,start_junc
50,1,5587,1,16.545,7.566,0.394,69.783,0.481,0.252,2.958,start_junc
51,1,5587,2,16.471,7.577,0.394,93.552,0.426,0.266,3.293,start_junc
52,1,5587,3,16.397,7.585,0.394,38.333,0.123,0.248,3.189,start_junc
53,1,5587,4,16.324,7.579,0.394,35.259,0.180,0.230,3.222,start_junc
54,1,5587,5,16.250,7.573,0.394,29.292,0.180,0.230,3.462,start_junc
55,1,5587,6,16.157,7.546,0.394,19.745,0.180,0.230,3.767,start_junc
56,1,5595,1,12.636,14.302,1.270,232.433,0.310,0.271,6.003,start_junc
57,1,5595,2,12.723,14.307,1.270,27.859,0.148,0.163,6.201,start_junc
58,1,5595,3,12.796,14.324,1.270,75.361,0.014,0.220,6.145,start_junc
59,1,5595,4,12.868,14.334,1.270,169.279,0.116,0.276,6.136,start_junc
60,1,5595,5,12.939,14.347,1.270,262.455,0.086,0.269,6.082,start_junc
61,1,5595,6,13.009,14.361,1.270,251.032,0.136,0.266,6.068,start_junc
62,1,5595,7,13.079,14.380,1.270,243.446,0.205,0.265,6.060,start_junc
63,1,5595,8,13.164,14.390,1.270,244.393,0.260,0.277,6.168,start_junc
64,1,5595,9,13.236,14.398,1.270,245.193,0.174,0.275,6.189,start_junc
65,1,5595,10,13.309,14.404,1.270,245.996,0.088,0.273,6.211,start_junc
66,1,5595,11,13.382,14.410,1.270,230.900,8.249E-4,0.271,6.228,start_junc
67,1,5595,12,13.456,14.411,1.270,254.014,0.086,0.269,0.020,start_junc
68,1,5595,13,13.529,14.409,1.270,257.214,0.173,0.267,0.038,start_junc
69,1,5595,14,13.603,14.411,1.270,207.566,0.240,0.259,6.251,start_junc
70,1,5595,15,13.676,14.414,1.270,181.620,0.327,0.256,6.268,start_junc
71,1,5595,16,13.750,14.411,1.270,104.330,0.372,0.235,0.066,start_junc
72,1,5595,17,13.823,14.410,1.270,31.166,0.345,0.177,6.279,start_junc
73,1,5595,18,13.897,14.407,1.270,15.104,0.504,0.156,0.073,start_junc
74,1,5597,1,18.761,37.147,0.123,34.797,0.318,0.190,3.796,start_junc
75,1,5597,2,18.753,37.207,0.123,11.690,0.042,0.115,4.304,start_junc
76,1,5597,3,18.694,37.227,0.123,6.377,0.042,0.115,3.842,start_junc
77,1,5604,1,18.748,1.468,0.060,0.000,0.000,0.000,3.873,start_junc
78,1,5604,2,18.692,1.490,0.060,22.803,0.584,0.217,3.836,start_junc
79,1,5611,1,24.873,4.854,0.379,43.616,0.789,0.220,1.502,start_junc
80,1,5611,2,24.850,4.780,0.379,46.948,0.789,0.220,1.745,start_junc
81,1,5611,3,24.838,4.708,0.379,62.792,0.793,0.232,1.725,start_junc
82,1,5611,4,24.830,4.635,0.379,65.086,0.800,0.228,1.700,start_junc
83,1,5611,5,24.830,4.553,0.379,59.245,0.799,0.224,1.343,start_junc
84,1,5611,6,24.871,4.493,0.379,62.740,0.764,0.270,1.149,start_junc
85,1,5621,1,29.159,22.124,0.154,88.072,0.346,0.229,4.452,start_junc
86,1,5621,2,29.153,22.207,0.154,52.206,0.346,0.229,4.756,start_junc
87,1,5621,3,29.147,22.277,0.154,15.203,0.346,0.229,4.772,start_junc
88,1,5624,1,23.437,24.678,0.353,174.124,0.361,0.276,0.589,start_junc
89,1,5624,2,23.432,24.623,0.353,53.315,0.442,0.218,1.192,start_junc
90,1,5624,3,23.447,24.556,0.353,39.966,0.375,0.205,1.290,start_junc
91,1,5624,4,23.479,24.494,0.353,12.691,0.103,0.139,1.205,start_junc
92,1,5624,5,23.458,24.411,0.353,9.010,0.103,0.139,1.563,start_junc
93,1,5624,6,23.441,24.338,0.353,6.500,0.103,0.139,1.600,start_junc
94,1,5627,1,23.101,17.011,0.212,90.299,0.480,0.238,3.621,start_junc
95,1,5627,2,23.084,17.057,0.212,14.479,0.062,0.161,4.244,start_junc
96,1,5627,3,23.069,17.127,0.212,27.988,0.028,0.224,4.462,start_junc
97,1,5627,4,23.047,17.215,0.212,15.870,0.087,0.217,4.427,start_junc
98,1,5630,1,31.320,12.432,0.103,101.769,0.756,0.273,5.826,start_junc
99,1,5630,2,31.345,12.467,0.103,133.742,0.756,0.274,5.703,start_junc
100,1,5630,3,31.402,12.485,0.103,70.432,0.715,0.252,5.931,start_junc
101,1,5641,1,28.424,11.316,0.380,51.735,0.589,0.217,4.473,start_junc
102,1,5641,2,28.428,11.395,0.380,49.822,0.589,0.217,4.654,start_junc
103,1,5641,3,28.430,11.474,0.380,54.765,0.572,0.227,4.639,start_junc
104,1,5641,4,28.451,11.545,0.380,15.358,0.504,0.120,4.985,start_junc
105,1,5641,5,28.472,11.612,0.380,15.485,0.488,0.140,5.007,start_junc
106,1,5641,6,28.475,11.690,0.380,10.847,0.517,0.172,4.785,start_junc
107,1,5651,1,14.850,22.130,0.079,15.697,0.066,0.093,4.008,start_junc
108,1,5651,2,14.860,22.208,0.079,8.944,0.066,0.093,4.384,start_junc
109,1,5653,1,11.308,14.157,1.730,170.534,0.133,0.269,2.772,start_junc
110,1,5653,2,11.245,14.138,1.730,132.065,0.162,0.255,2.899,start_junc
111,1,5653,3,11.176,14.117,1.730,117.909,0.481,0.240,2.890,start_junc
112,1,5653,4,11.110,14.093,1.730,124.701,0.586,0.245,2.842,start_junc
113,1,5653,5,11.026,14.052,1.730,162.425,0.779,0.235,2.758,start_junc
114,1,5653,6,10.962,14.028,1.730,133.479,0.780,0.232,2.766,start_junc
115,1,5653,7,10.901,13.990,1.730,73.413,0.755,0.199,2.809,start_junc
116,1,5653,8,10.807,13.978,1.730,78.781,0.745,0.203,2.925,start_junc
117,1,5653,9,10.736,13.967,1.730,123.396,0.667,0.237,2.865,start_junc
118,1,5653,10,10.669,13.948,1.730,134.103,0.596,0.245,2.825,start_junc
119,1,5653,11,10.603,13.923,1.730,112.785,0.480,0.245,2.831,start_junc
120,1,5653,12,10.512,13.908,1.730,143.937,0.394,0.251,2.934,start_junc
121,1,5653,13,10.441,13.896,1.730,120.346,0.255,0.245,2.944,start_junc
122,1,5653,14,10.372,13.882,1.730,102.727,0.026,0.244,2.843,start_junc
123,1,5653,15,10.305,13.855,1.730,161.810,0.011,0.272,2.879,start_junc
124,1,5653,16,10.220,13.824,1.730,182.788,0.175,0.280,2.767,start_junc
125,1,5653,17,10.148,13.811,1.730,32.704,0.409,0.190,3.034,start_junc
126,1,5653,18,10.072,13.817,1.730,16.900,0.234,0.144,3.346,start_junc
127,1,5653,19,10.007,13.844,1.730,49.961,0.248,0.263,3.454,start_junc
128,1,5653,20,9.923,13.887,1.730,10.186,0.214,0.204,3.431,start_junc
129,1,5653,21,9.854,13.905,1.730,9.978,0.168,0.158,3.292,start_junc
130,1,5653,22,9.772,13.914,1.730,8.964,0.168,0.158,2.740,start_junc
131,1,5653,23,9.732,13.879,1.730,8.208,0.168,0.158,2.175,start_junc
132,1,5653,24,9.694,13.829,1.730,8.380,0.168,0.158,2.049,start_junc
133,1,5657,1,9.514,8.125,0.112,0.000,0.000,0.000,2.474,start_junc
134,1,5657,2,9.505,8.073,0.112,0.000,0.000,0.000,2.206,start_junc
135,1,5657,3,9.474,8.022,0.112,0.000,0.000,0.000,2.183,start_junc
136,1,5661,1,35.587,6.913,0.065,0.000,0.000,0.000,2.555,start_junc
137,1,5661,2,35.528,6.884,0.065,0.000,0.000,0.000,2.669,start_junc
138,1,5669,1,25.924,14.120,0.376,41.850,0.717,0.211,1.504,start_junc
139,1,5669,2,25.905,14.041,0.376,44.880,0.717,0.211,1.708,start_junc
140,1,5669,3,25.891,13.968,0.376,45.225,0.638,0.191,1.853,start_junc
141,1,5669,4,25.875,13.899,0.376,29.658,0.193,0.196,1.903,start_junc
142,1,5669,5,25.851,13.830,0.376,35.807,0.088,0.215,1.772,start_junc
143,1,5669,6,25.842,13.754,0.376,29.388,0.095,0.223,1.686,start_junc
144,1,5672,1,14.925,11.545,0.473,219.449,0.458,0.262,2.540,start_junc
145,1,5672,2,14.870,11.514,0.473,219.449,0.399,0.242,2.608,start_junc
146,1,5672,3,14.839,11.490,0.473,45.589,0.086,0.154,2.530,start_junc
147,1,5672,4,14.777,11.478,0.473,47.260,0.015,0.172,2.808,start_junc
148,1,5672,5,14.703,11.501,0.473,41.354,0.071,0.194,3.067,start_junc
149,1,5672,6,14.632,11.543,0.473,60.024,0.297,0.224,3.305,start_junc
150,1,5672,7,14.559,11.551,0.473,84.256,0.559,0.236,3.211,start_junc
151,1,5672,8,14.485,11.551,0.473,69.381,0.613,0.245,3.173,start_junc
152,1,5678,1,21.690,5.955,0.704,50.362,0.673,0.221,3.890,start_junc
153,1,5678,2,21.668,6.007,0.704,59.458,0.673,0.213,3.941,start_junc
154,1,5678,3,21.614,6.025,0.704,38.008,0.653,0.220,3.818,start_junc
155,1,5678,4,21.591,6.075,0.704,55.532,0.633,0.227,3.901,start_junc
156,1,5678,5,21.549,6.107,0.704,48.798,0.633,0.227,3.982,start_junc
157,1,5678,6,21.519,6.156,0.704,62.136,0.633,0.227,4.028,start_junc
158,1,5678,7,21.490,6.191,0.704,60.611,0.633,0.227,4.081,start_junc
159,1,5678,8,21.459,6.242,0.704,68.767,0.633,0.227,4.130,start_junc
160,1,5678,9,21.389,6.317,0.704,70.237,0.633,0.227,3.970,start_junc
161,1,5678,10,21.351,6.354,0.704,55.648,0.633,0.227,3.889,start_junc
162,1,5678,11,21.308,6.380,0.704,55.072,0.633,0.227,3.880,start_junc
163,1,5678,12,21.357,6.482,0.704,31.497,0.633,0.227,4.385,start_junc
